"","driverId","constructorId","grid","position","laps","milliseconds","rank","fastestLapSpeed"
"14449",223,6,5,"7",29,"3575760","\N","\N"
"14450",222,25,10,"8",28,"\N","\N","\N"
"14451",224,1,3,"9",28,"\N","\N","\N"
"14452",187,63,18,"10",28,"\N","\N","\N"
"14453",221,25,7,"11",28,"\N","\N","\N"
"14454",278,57,23,"12",28,"\N","\N","\N"
"14455",239,64,17,"13",28,"\N","\N","\N"
"14456",199,34,11,"14",28,"\N","\N","\N"
"14457",294,75,16,"15",28,"\N","\N","\N"
"14458",243,75,25,"16",27,"\N","\N","\N"
"14459",275,37,21,"17",26,"\N","\N","\N"
"14460",295,57,27,"\N",25,"\N","\N","\N"
"14461",229,64,26,"\N",23,"\N","\N","\N"
"14462",172,3,12,"\N",21,"\N","\N","\N"
"14463",250,34,6,"\N",17,"\N","\N","\N"
"14464",303,3,28,"\N",14,"\N","\N","\N"
"14465",233,37,4,"\N",10,"\N","\N","\N"
"14466",197,203,14,"\N",10,"\N","\N","\N"
"14467",276,66,24,"\N",2,"\N","\N","\N"
"14468",207,73,19,"\N",1,"\N","\N","\N"
"14469",288,37,20,"\N",0,"\N","\N","\N"
"14470",205,32,22,"\N",0,"\N","\N","\N"
"14471",245,74,0,"\N",0,"\N","\N","\N"
"14472",290,56,0,"\N",0,"\N","\N","\N"
"14473",223,6,2,"1",52,"4962600","\N","\N"
"14474",224,1,3,"2",52,"4979200","\N","\N"
"14475",182,6,1,"3",52,"4985800","\N","\N"
"14476",199,34,7,"4",52,"5017700","\N","\N"
"14477",231,64,8,"5",52,"5019700","\N","\N"
"14478",252,202,14,"6",52,"5038500","\N","\N"
"14479",221,25,12,"7",51,"\N","\N","\N"
"14480",222,25,4,"8",51,"\N","\N","\N"
"14481",229,64,17,"9",51,"\N","\N","\N"
"14482",239,64,21,"10",50,"\N","\N","\N"
"14483",232,56,26,"11",48,"\N","\N","\N"
"14484",278,57,19,"12",48,"\N","\N","\N"
"14485",302,32,25,"13",46,"\N","\N","\N"
"14486",254,3,22,"14",46,"\N","\N","\N"
"14487",197,203,13,"\N",32,"\N","\N","\N"
"14488",275,37,24,"\N",21,"\N","\N","\N"
"14489",233,37,16,"\N",15,"\N","\N","\N"
"14490",172,3,18,"\N",7,"\N","\N","\N"
"14491",250,34,10,"\N",6,"\N","\N","\N"
