"","driverId","constructorId","grid","position","laps","milliseconds","rank","maxSpeed"
"23525",825,210,12,7,51,7477326,11,203.277
"23526",832,5,15,8,51,7484973,10,204.133
"23527",4,1,19,9,51,7495124,6,205.488
"23528",836,15,14,10,51,7524666,15,201.743
"23529",828,15,17,11,51,7527367,16,201.619
"23530",838,1,18,12,51,7527733,13,202.636
"23542",822,131,1,1,71,4908523,5,229.115
"23543",20,6,2,2,71,4909181,4,230.306
"23544",817,9,4,3,71,4914535,2,230.491
"23545",1,131,8,4,71,4915953,1,230.597
"23546",8,6,3,5,71,4928893,3,230.341
"23547",154,210,6,6,71,4981683,10,226.633
"23562",1,131,1,1,51,4887430,1,234.025
"23563",822,131,9,2,51,4901493,3,233.294
"23564",8,6,2,3,51,4924000,4,231.733
"23565",830,9,4,4,51,4939555,2,233.878
"23566",817,9,19,5,51,4953385,6,230.833
"23567",807,4,5,6,51,4955539,8,229.08
"23568",20,6,3,7,51,4981419,5,230.838
"23582",20,6,1,1,70,5986713,4,195.176
"23583",8,6,2,2,70,5987621,2,196.015
"23584",822,131,3,3,70,5999175,6,194.198
"23585",1,131,4,4,70,5999598,5,195.149
"23586",830,9,5,5,70,5999989,3,195.944
"23587",4,1,7,6,70,6057936,1,196.697
"23602",1,131,1,1,44,5082820,2,236.526
"23603",20,6,2,2,44,5085178,1,236.583
"23604",817,9,6,3,44,5093611,3,234.445
"23605",8,6,4,4,44,5097291,5,234.051
"23606",822,131,3,5,44,5099276,4,234.071
"23607",807,4,7,6,44,5110907,7,231.49
"23608",154,210,11,7,44,5114373,8,231.14
"23609",13,3,16,8,44,5119469,11,229.98
"23610",839,10,9,9,44,5120974,14,229.804
"23611",832,5,13,10,44,5122267,13,229.829
"23612",840,3,15,11,44,5131819,16,228.095
"23613",826,5,19,12,44,5132760,12,229.831
"23614",835,4,14,13,44,5136059,10,230.725
"23615",838,1,20,14,44,5139898,15,229.415
"23616",825,210,12,15,44,5150082,9,231.057
"23617",828,15,17,16,44,5152531,17,227.618
"23622",1,131,1,1,53,4532312,2,249.793
"23623",822,131,4,2,53,4536783,3,249.095
"23624",20,6,6,3,53,4568629,4,248.576
"23625",817,9,16,4,53,4572647,1,250.174
"23626",8,6,5,5,53,4592394,8,245.194
"23627",839,10,3,6,53,4603840,11,243.482
"23628",840,3,2,7,53,4606468,10,243.559
"23629",13,3,7,8,53,4607146,9,243.981
"23630",815,10,10,9,53,4607588,6,245.442
"23642",1,131,5,1,58,7403544,1,173.643
"23643",817,9,3,2,58,7408051,2,173.16
"23644",822,131,6,3,58,7412344,3,172.989
"23645",832,5,10,4,58,7426366,4,171.151
"23646",815,10,12,5,58,7428903,7,170.84
"23647",835,4,11,6,58,7430803,5,170.855
"23648",838,1,9,7,58,7433932,6,170.855
"23649",840,3,18,8,58,7445240,9,169.599
"23650",154,210,15,9,58,7446826,11,169.402
"23651",839,10,14,10,58,7448339,12,169.339
"23652",13,3,17,11,58,7450080,8,170.323
"23662",830,9,3,1,56,5401290,4,211.235
"23663",1,131,1,2,56,5414060,3,211.269
"23664",817,9,4,3,56,5423809,5,210.56
"23665",20,6,20,4,56,5438652,1,212.104
"23666",822,131,5,5,56,5457311,6,209.424
"23667",815,10,9,6,56,5479920,7,208.751
"23682",1,131,1,1,53,5251194,6,222.917
"23683",830,9,4,2,53,5252405,5,223.036
"23684",817,9,3,3,53,5260873,3,223.122
"23685",822,131,6,4,53,5261774,1,224.439
"23686",8,6,10,5,53,5283816,2,224.364
